currency,worktime,sex,isco88,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
EUR,FT,F,ISCO7-9,AT	22611.0 	21890.9 	21079.0 	20500.0 	19768.0 	20664.0 	19774.0 	19012.0 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO7-9,CY	13920.0 	13324.2 	12980.6 	12904.2 	12014.3 	11899.1 	11364.7 	10561.3 	10411.0 	10075.8 	9576.1 	9236.8 	: 	: 
EUR,FT,F,ISCO7-9,DE	25200.0 	24500.0 	24002.0 	23700.0 	23300.0 	22800.0 	22200.0 	21600.0 	21100.0 	20800.0 	20162.9 	19614.3 	19767.9 	: 
EUR,FT,F,ISCO7-9,DK	38980.5 	37298.1 	34904.7 	34246.0 	32943.5 	32238.8 	31350.4 	30358.3 	29876.2 	28620.8 	27586.2 	26737.2 	26332.0 	: 
EUR,FT,F,ISCO7-9,EL	: 	: 	: 	: 	: 	12601.0 	12148.6 	11338.8 	10679.7 	10021.3 	9431.2 	8865.1 	8287.1 	7773.6 
EUR,FT,F,ISCO7-9,ES	: 	14509.6 	14182.0 	14109.6 	13526.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO7-9,FI	25246.0 	24613.0 	23607.0 	23767.0 	22615.0 	21946.0 	21383.0 	20468.5 	19783.4 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO7-9,IE	: 	25045.0 	: 	24540.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO7-9,IS	21226.4 	33732.7 	30856.9 	32532.3 	27383.1 	23507.8 	22520.6 	21841.5 	23502.4 	19593.1 	: 	: 	: 	: 
EUR,FT,F,ISCO7-9,MT	: 	: 	: 	: 	: 	10362.7 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO7-9,PL	: 	: 	: 	: 	3586.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO7-9,PT	8896 	8599.7 	7998.8 	7435.7 	7346.7 	7251.2 	7650.9 	7123.0 	6719.8 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO7-9,RO	3340.3 	2845.9 	2470.9 	2018.3 	1507.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
